"","yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"1","01","2010011800",6.9,113.2,15,1010,"DB"
"2","01","2010011806",7.1,113,20,1007,"DB"
"3","01","2010011812",7.5,112.7,25,1004,"TD"
"4","01","2010011818",7.5,111.7,25,1004,"TD"
"5","01","2010011900",7.8,110.8,30,1000,"TD"
"6","01","2010011906",8.2,109.9,30,1000,"TD"
"7","01","2010011912",8.8,109.1,30,1000,"TD"
"8","01","2010011918",9.4,108.3,25,1004,"TD"
"9","01","2010012000",10.1,107.6,25,1004,"TD"
"10","01","2010012006",10.9,106.2,20,1007,"DB"
"11","02","2010031906",3.2,153.3,15,1010,"DB"
"12","02","2010031912",2.7,152.2,15,1010,"DB"
"13","02","2010031918",2.9,151,20,1007,"DB"
"14","02","2010032000",3.3,149.9,20,1007,"DB"
"15","02","2010032006",3.8,148.7,20,1007,"DB"
"16","02","2010032012",4.3,147.6,20,1007,"DB"
"17","02","2010032018",4.5,146.6,25,1004,"TD"
"18","02","2010032100",4.7,145.8,25,1004,"TD"
"19","02","2010032106",5,145.2,20,1007,"DB"
"20","02","2010032112",5.5,144.6,20,1007,"DB"
"21","02","2010032118",6.7,144.3,25,1004,"TD"
"22","02","2010032200",7.4,143.5,30,1000,"TD"
"23","02","2010032206",7.9,142.6,30,1000,"TD"
"24","02","2010032212",8.4,141.6,30,1000,"TD"
"25","02","2010032218",8.9,140.5,35,996,"TS"
"26","02","2010032300",9.6,139.6,35,996,"TS"
"27","02","2010032306",10.2,138.6,35,996,"TS"
"28","02","2010032312",10.6,137.6,35,996,"TS"
"29","02","2010032318",10.6,136.4,35,996,"TS"
"30","02","2010032400",11.4,135.3,35,996,"TS"
"31","02","2010032406",12.5,134.4,40,993,"TS"
"32","02","2010032412",13.2,133.3,40,993,"TS"
"33","02","2010032418",14.1,132.4,50,985,"TS"
"34","02","2010032500",14.9,131.8,50,985,"TS"
"35","02","2010032506",15.3,131.3,45,989,"TS"
"36","02","2010032512",15.8,131.2,35,996,"TS"
"37","02","2010032518",16.4,131.2,30,1000,"TD"
"38","02","2010032600",17.2,131.3,30,1000,"TD"
"39","02","2010032606",18.2,131.9,30,1000,"EX"
"40","03","2010071006",11.8,137.6,15,1010,"DB"
"41","03","2010071012",12.3,136.6,15,1010,"DB"
"42","03","2010071018",12.5,135.6,20,1007,"DB"
"43","03","2010071100",12.8,134.7,20,1007,"DB"
"44","03","2010071106",13.3,133.9,25,1004,"TD"
"45","03","2010071112",13.8,132.9,30,1000,"TD"
"46","03","2010071118",14.1,131.6,40,993,"TS"
"47","03","2010071200",14.3,130.2,50,985,"TS"
"48","03","2010071206",14.2,129,55,982,"TS"
"49","03","2010071206",14.2,129,55,982,"TS"
"50","03","2010071212",14.3,127.8,60,978,"TS"
"51","03","2010071212",14.3,127.8,60,978,"TS"
"52","03","2010071218",14.2,126.4,70,970,"TY"
"53","03","2010071218",14.2,126.4,70,970,"TY"
"54","03","2010071300",14.2,125,75,967,"TY"
