"","yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"1","01","2016052600",17.6,114.6,20,1005,"DB"
"2","01","2016052603",18.2,114.7,20,1005,"DB"
"3","01","2016052606",18.6,114.4,20,1005,"DB"
"4","01","2016052612",19.1,113.6,25,1004,"TD"
"5","01","2016052618",19.6,112.9,25,1004,"TD"
"6","01","2016052700",20.4,112.7,25,1004,"TD"
"7","01","2016052706",21.4,112.6,30,1000,"TD"
"8","01","2016052712",22.1,112.2,20,1007,"DB"
"9","02","2016070218",8.3,145.3,20,1007,"DB"
"10","02","2016070300",9,145,25,1004,"TD"
"11","02","2016070306",9.8,144.7,30,1000,"TD"
"12","02","2016070312",10.3,144,35,996,"TS"
"13","02","2016070318",10.9,143.1,45,989,"TS"
"14","02","2016070400",11.6,142,50,985,"TS"
"15","02","2016070400",11.6,142,50,985,"TS"
"16","02","2016070406",12.4,140.9,50,985,"TS"
"17","02","2016070406",12.4,140.9,50,985,"TS"
"18","02","2016070412",13.6,139.7,55,982,"TS"
"19","02","2016070412",13.6,139.7,55,982,"TS"
"20","02","2016070418",14.7,138.2,65,974,"TY"
"21","02","2016070418",14.7,138.2,65,974,"TY"
"22","02","2016070418",14.7,138.2,65,974,"TY"
"23","02","2016070500",15.4,136.7,75,967,"TY"
"24","02","2016070500",15.4,136.7,75,967,"TY"
"25","02","2016070500",15.4,136.7,75,967,"TY"
"26","02","2016070506",16.3,135,95,952,"TY"
"27","02","2016070506",16.3,135,95,952,"TY"
"28","02","2016070506",16.3,135,95,952,"TY"
"29","02","2016070512",17.1,133.6,125,929,"TY"
"30","02","2016070512",17.1,133.6,125,929,"TY"
"31","02","2016070512",17.1,133.6,125,929,"TY"
"32","02","2016070518",18,131.9,135,922,"ST"
"33","02","2016070518",18,131.9,135,922,"ST"
"34","02","2016070518",18,131.9,135,922,"ST"
"35","02","2016070600",18.7,130.1,145,914,"ST"
"36","02","2016070600",18.7,130.1,145,914,"ST"
