"","yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"1","01","2008011206",12.2,122.8,15,1010,"DB"
"2","01","2008011212",12.4,121.3,20,1006,"DB"
"3","01","2008011218",12.3,120,20,1006,"DB"
"4","01","2008011300",12.1,118.8,20,1005,"DB"
"5","01","2008011306",13,118.1,25,1005,"TD"
"6","01","2008011312",13.5,117,30,1000,"TD"
"7","01","2008011318",13.2,116,30,1000,"TD"
"8","01","2008011400",12.8,114.9,35,996,"TS"
"9","01","2008011406",12.3,113.7,40,993,"TS"
"10","01","2008011412",11.8,112.7,35,1000,"TS"
"11","01","2008011418",10.4,112,30,1000,"TD"
"12","01","2008011500",9.5,111.7,25,1004,"TD"
"13","01","2008011506",8.9,111.3,25,1004,"TD"
"14","01","2008011512",8.3,110.9,25,1004,"TD"
"15","01","2008011518",7.9,110.2,25,1004,"TD"
"16","01","2008011600",7.5,109.6,25,1004,"TD"
"17","01","2008011606",7,108.9,20,1007,"DB"
"18","01","2008011612",6.4,108.2,15,1010,"DB"
"19","01","2008011618",5.8,107.5,15,1010,"DB"
"20","01","2008011700",5.2,106.7,15,1010,"DB"
"21","01","2008011706",4.8,105.7,15,1010,"DB"
"22","01","2008011712",3.9,105.2,15,1010,"DB"
"23","01","2008011718",3.1,104.8,15,1010,"DB"
"24","02","2008041300",8.1,127,15,1010,"DB"
"25","02","2008041306",8.7,125.9,15,1007,"DB"
"26","02","2008041312",9.2,124.7,15,1010,"DB"
"27","02","2008041318",9.5,123.3,20,1005,"DB"
"28","02","2008041400",9.5,121.7,30,1000,"TD"
"29","02","2008041406",9,120.2,35,996,"TS"
"30","02","2008041412",9.4,119,35,996,"TS"
"31","02","2008041418",9.9,117.8,35,996,"TS"
"32","02","2008041500",10.5,116.9,40,993,"TS"
"33","02","2008041506",11.2,116.1,40,993,"TS"
"34","02","2008041512",12,115.2,45,989,"TS"
"35","02","2008041518",12.9,114.1,50,985,"TS"
"36","02","2008041600",13.3,113,65,974,"TY"
"37","02","2008041600",13.3,113,65,974,"TY"
"38","02","2008041606",13.3,112.5,70,970,"TY"
"39","02","2008041606",13.3,112.5,70,970,"TY"
"40","02","2008041606",13.3,112.5,70,970,"TY"
"41","02","2008041609",13.6,112.5,70,970,"TY"
"42","02","2008041609",13.6,112.5,70,970,"TY"
"43","02","2008041609",13.6,112.5,70,970,"TY"
"44","02","2008041612",13.9,112.5,75,967,"TY"
"45","02","2008041612",13.9,112.5,75,967,"TY"
"46","02","2008041612",13.9,112.5,75,967,"TY"
"47","02","2008041618",14.6,112.4,80,963,"TY"
"48","02","2008041618",14.6,112.4,80,963,"TY"
"49","02","2008041618",14.6,112.4,80,963,"TY"
"50","02","2008041700",15.3,112.1,85,959,"TY"
"51","02","2008041700",15.3,112.1,85,959,"TY"
"52","02","2008041700",15.3,112.1,85,959,"TY"
"53","02","2008041706",15.9,111.9,90,956,"TY"
"54","02","2008041706",15.9,111.9,90,956,"TY"
"55","02","2008041706",15.9,111.9,90,956,"TY"
"56","02","2008041712",16.5,111.9,90,956,"TY"
"57","02","2008041712",16.5,111.9,90,956,"TY"
"58","02","2008041712",16.5,111.9,90,956,"TY"
"59","02","2008041718",17.1,111.7,100,948,"TY"
"60","02","2008041718",17.1,111.7,100,948,"TY"
"61","02","2008041718",17.1,111.7,100,948,"TY"
"62","02","2008041800",17.8,111.4,95,952,"TY"
"63","02","2008041800",17.8,111.4,95,952,"TY"
"64","02","2008041800",17.8,111.4,95,952,"TY"
"65","02","2008041806",18.6,111.4,95,952,"TY"
"66","02","2008041806",18.6,111.4,95,952,"TY"
"67","02","2008041806",18.6,111.4,95,952,"TY"
"68","02","2008041812",19.4,111.6,90,956,"TY"
"69","02","2008041812",19.4,111.6,90,956,"TY"
"70","02","2008041812",19.4,111.6,90,956,"TY"
"71","02","2008041818",20.2,111.3,75,967,"TY"
"72","02","2008041818",20.2,111.3,75,967,"TY"
"73","02","2008041818",20.2,111.3,75,967,"TY"
"74","02","2008041900",20.9,111.6,60,978,"TS"
"75","02","2008041900",20.9,111.6,60,978,"TS"
"76","02","2008041906",21.7,112.1,50,985,"TS"
"77","02","2008041912",22.6,113.1,40,993,"TS"
"78","02","2008041918",23.3,114.8,35,996,"TS"
"79","03","2008050618",7.2,134.2,20,1004,"DB"
"80","03","2008050700",7,133.5,20,1005,"DB"
"81","03","2008050706",7.4,132.9,30,1001,"TD"
"82","03","2008050712",7.7,132.4,30,1000,"TD"
"83","03","2008050718",7.9,132.1,35,996,"TS"
"84","03","2008050800",8.2,132,35,996,"TS"
"85","03","2008050806",8.7,132,35,996,"TS"
"86","03","2008050812",9.4,131.9,45,989,"TS"
"87","03","2008050818",10.3,132,55,982,"TS"
"88","03","2008050818",10.3,132,55,982,"TS"
"89","03","2008050900",11.2,132.2,65,974,"TY"
"90","03","2008050900",11.2,132.2,65,974,"TY"
"91","03","2008050906",12,132.2,70,970,"TY"
"92","03","2008050906",12,132.2,70,970,"TY"
"93","03","2008050906",12,132.2,70,970,"TY"
"94","03","2008050912",12.8,132.1,85,959,"TY"
"95","03","2008050912",12.8,132.1,85,959,"TY"
"96","03","2008050912",12.8,132.1,85,959,"TY"
"97","03","2008050918",13.6,132.1,100,948,"TY"
"98","03","2008050918",13.6,132.1,100,948,"TY"
"99","03","2008050918",13.6,132.1,100,948,"TY"
"100","03","2008051000",14.5,132.1,120,933,"TY"
"101","03","2008051000",14.5,132.1,120,933,"TY"
"102","03","2008051000",14.5,132.1,120,933,"TY"
"103","03","2008051006",15.6,132.1,125,929,"TY"
