"","yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"1","01","2017123118",8.6,131,20,1006,"DB"
"2","01","2018010100",8.9,129.3,20,1006,"DB"
"3","01","2018010106",9.2,127.6,20,1006,"DB"
"4","01","2018010112",9.3,126.4,25,1004,"TD"
"5","01","2018010118",9.4,124.6,30,1003,"TD"
"6","01","2018010200",9.4,122.5,30,1003,"TD"
"7","01","2018010206",9.3,120.6,30,1003,"TD"
"8","01","2018010212",9.1,119.1,30,1003,"TD"
"9","01","2018010218",9.7,117.6,30,1003,"TD"
"10","01","2018010300",10.4,115.9,35,1001,"TS"
"11","01","2018010306",11,114.6,35,1001,"TS"
"12","01","2018010312",11.5,113.2,30,1003,"TD"
"13","01","2018010318",11.9,111.9,30,1003,"TD"
"14","01","2018010400",12.3,111,25,1005,"TD"
"15","01","2018010406",12.2,110.1,20,1007,"DB"
"16","02","2018020806",9.5,149.8,20,1007,"DB"
"17","02","2018020812",10.2,148.8,20,1007,"WV"
"18","02","2018020818",10.5,147.8,20,1007,"DB"
"19","02","2018020900",10.6,147.1,20,1008,"DB"
"20","02","2018020906",10.5,146,15,1009,"WV"
"21","02","2018020912",10.1,145.1,20,1008,"WV"
"22","02","2018020918",9.2,144.3,20,1007,"WV"
"23","02","2018021000",8.2,143.5,25,1006,"WV"
"24","02","2018021006",7,141.7,25,1005,"WV"
"25","02","2018021012",6.4,140,30,1004,"TD"
"26","02","2018021018",6.4,138.2,30,1004,"TD"
"27","02","2018021100",6.6,137.4,35,1001,"TS"
"28","02","2018021106",6.9,135.9,35,1001,"TS"
"29","02","2018021112",7.1,134.4,40,999,"TS"
"30","02","2018021118",6.8,132.9,35,1002,"TS"
"31","02","2018021200",6.9,132,35,1003,"TS"
"32","02","2018021206",7.1,130.6,35,1003,"TS"
"33","02","2018021212",8.1,129,35,1003,"TS"
"34","02","2018021218",9,127.3,35,1002,"TS"
"35","02","2018021300",9.6,126.1,35,1003,"TS"
"36","02","2018021306",9.8,124.9,30,1005,"TD"
"37","02","2018021312",9.3,123.3,25,1007,"TD"
"38","02","2018021318",8.8,121.8,20,1009,"WV"
"39","02","2018021400",8.4,120.4,20,1009,"WV"
"40","02","2018021406",7.7,120,25,1007,"LO"
"41","02","2018021412",7.6,119.8,25,1007,"LO"
"42","02","2018021418",7.8,119.9,25,1006,"TD"
"43","02","2018021500",8,119.8,20,1007,"DB"
"44","02","2018021506",8.7,119.2,20,1008,"DB"
"45","02","2018021512",9.1,118.2,20,1008,"DB"
"46","02","2018021518",9.3,117.4,15,1010,"DB"
"47","03","2018032306",4.4,147.4,20,1007,"DB"
"48","03","2018032312",4.8,146.9,20,1003,"DB"
"49","03","2018032318",5.1,146.4,20,1003,"DB"
"50","03","2018032400",5.3,145.9,20,1003,"DB"
"51","03","2018032406",5.6,145.2,20,1003,"DB"
"52","03","2018032412",5.8,143.9,20,1004,"DB"
"53","03","2018032418",6,142.5,25,1003,"DB"
"54","03","2018032500",6.2,141.1,30,1000,"TD"
"55","03","2018032506",6.3,140.3,30,1002,"TD"
"56","03","2018032512",6.5,139.3,25,1004,"TD"
"57","03","2018032518",6.9,138.3,25,1004,"TD"
"58","03","2018032600",7.5,137.4,30,1003,"TD"
"59","03","2018032606",8.2,136.7,30,1002,"TD"
"60","03","2018032612",8.7,136.1,30,1002,"TD"
"61","03","2018032618",9.1,135.5,30,1000,"TD"
"62","03","2018032700",9.5,134.8,30,1001,"TD"
"63","03","2018032706",9.7,135.2,30,1001,"TD"
"64","03","2018032712",10.4,135.3,30,1001,"TD"
"65","03","2018032718",11.2,135.4,35,998,"TS"
"66","03","2018032800",12.3,135.5,40,997,"TS"
"67","03","2018032806",13.7,135.5,45,995,"TS"
"68","03","2018032812",14.4,135.4,50,994,"TS"
"69","03","2018032812",14.4,135.4,50,994,"TS"
"70","03","2018032818",15.2,135.4,55,990,"TS"
"71","03","2018032818",15.2,135.4,55,990,"TS"
"72","03","2018032900",15.2,135.7,55,990,"TS"
"73","03","2018032900",15.2,135.7,55,990,"TS"
"74","03","2018032906",15.2,135.9,55,989,"TS"
"75","03","2018032906",15.2,135.9,55,989,"TS"
"76","03","2018032912",15.2,136.3,60,986,"TS"
"77","03","2018032912",15.2,136.3,60,986,"TS"
"78","03","2018032918",15.3,136.9,70,977,"TY"
"79","03","2018032918",15.3,136.9,70,977,"TY"
"80","03","2018032918",15.3,136.9,70,977,"TY"
"81","03","2018033000",15.7,137.4,90,963,"TY"
"82","03","2018033000",15.7,137.4,90,963,"TY"
"83","03","2018033000",15.7,137.4,90,963,"TY"
"84","03","2018033006",16.2,138.1,115,942,"TY"
"85","03","2018033006",16.2,138.1,115,942,"TY"
"86","03","2018033006",16.2,138.1,115,942,"TY"
"87","03","2018033012",16.8,139.1,130,926,"ST"
"88","03","2018033012",16.8,139.1,130,926,"ST"
"89","03","2018033012",16.8,139.1,130,926,"ST"
"90","03","2018033018",17.5,139.9,120,936,"TY"
"91","03","2018033018",17.5,139.9,120,936,"TY"
"92","03","2018033018",17.5,139.9,120,936,"TY"
"93","03","2018033100",18.1,140.7,100,955,"TY"
"94","03","2018033100",18.1,140.7,100,955,"TY"
"95","03","2018033100",18.1,140.7,100,955,"TY"
"96","03","2018033106",18.3,141.6,75,974,"TY"
"97","03","2018033106",18.3,141.6,75,974,"TY"
"98","03","2018033106",18.3,141.6,75,974,"TY"
"99","03","2018033112",18.4,142.5,55,984,"TS"
"100","03","2018033112",18.4,142.5,55,984,"TS"
"101","03","2018033118",18.8,144.4,50,989,"TS"
"102","03","2018033118",18.8,144.4,50,989,"TS"
"103","03","2018040100",19.3,145.3,45,993,"TS"
"104","03","2018040106",19.8,146,40,992,"SS"
"105","03","2018040112",19.9,146.8,40,991,"SS"
"106","03","2018040118",19.9,147.8,40,994,"SS"
"107","03","2018040200",19.9,148.6,40,993,"SS"
"108","03","2018040206",19.8,149.3,35,996,"SS"
"109","03","2018040212",19.7,150.1,35,996,"SS"
"110","04","2018050900",14.5,153,20,1007,"DB"
"111","04","2018050906",14.6,152.9,20,1007,"DB"
"112","04","2018050912",14.9,153.1,20,1007,"DB"
"113","04","2018050918",15.1,153.1,20,1007,"DB"
"114","04","2018051000",15.3,153.1,20,1007,"DB"
"115","04","2018051003",15.9,153.2,20,1007,"DB"
"116","04","2018051006",16.2,152.9,20,1007,"DB"
"117","04","2018051012",16.5,152.5,20,1006,"DB"
"118","04","2018051018",16.7,151.9,25,1006,"TD"
"119","04","2018051100",16.8,151.3,30,1005,"TD"
"120","04","2018051106",17,150.7,30,1005,"TD"
"121","04","2018051112",17.5,150.1,30,1005,"TD"
"122","04","2018051118",18.1,149.5,30,1005,"TD"
"123","04","2018051200",18.5,148.9,30,1005,"TD"
"124","04","2018051206",18.7,148.2,30,1005,"TD"
"125","04","2018051212",18.8,147.5,35,1004,"TS"
"126","04","2018051218",19,147,35,1004,"TS"
"127","04","2018051300",19.4,146.5,35,1004,"TS"
"128","04","2018051306",20.1,145.8,30,1005,"TD"
