"","yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"1","01","2002010806",6.7,140.5,20,1004,"TD"
"2","01","2002010812",7.1,139.5,20,1004,"TD"
"3","01","2002010818",7.5,139,20,1004,"TD"
"4","01","2002010900",8,138.7,25,1002,"TD"
"5","01","2002010906",8.7,137.8,25,1002,"TD"
"6","01","2002010912",9.3,136.7,25,1002,"TD"
"7","01","2002010918",9.4,135.8,25,1002,"TD"
"8","01","2002011000",9.3,135,25,1002,"TD"
"9","01","2002011006",9.4,134.1,25,1002,"TD"
"10","01","2002011012",9.6,133.3,30,1000,"TD"
"11","01","2002011018",9.9,132.5,30,1000,"TD"
"12","01","2002011100",10.2,131.7,30,1000,"TD"
"13","01","2002011106",10.7,130.9,30,1000,"TD"
"14","01","2002011112",11.2,130,35,997,"TS"
"15","01","2002011118",11.6,129.1,35,997,"TS"
"16","01","2002011200",12.1,128,40,994,"TS"
"17","01","2002011206",12.9,126.8,45,991,"TS"
"18","01","2002011212",13.7,125.6,50,987,"TS"
"19","01","2002011218",14.3,124.6,45,991,"TS"
"20","01","2002011300",14.9,123.8,45,991,"TS"
"21","01","2002011306",15.6,123,40,994,"TS"
"22","01","2002011312",16.8,122.5,40,994,"TS"
"23","01","2002011318",18,122.2,30,1000,"TD"
"24","01","2002011400",19.1,122.1,20,1004,"TD"
"25","02","2002022606",6.1,156.3,25,1002,"TD"
"26","02","2002022612",6.1,156,25,1002,"TD"
"27","02","2002022618",6.1,155.7,25,1002,"TD"
"28","02","2002022700",6.2,155.3,30,1000,"TD"
"29","02","2002022706",6.3,154.9,35,997,"TS"
"30","02","2002022712",6.5,154.3,35,997,"TS"
"31","02","2002022718",6.6,153.8,35,997,"TS"
"32","02","2002022800",6.7,153.3,35,997,"TS"
"33","02","2002022806",6.9,152.7,35,997,"TS"
"34","02","2002022812",7.1,151.7,40,994,"TS"
"35","02","2002022818",6.9,150.4,45,991,"TS"
"36","02","2002030100",6.7,148.9,45,991,"TS"
"37","02","2002030106",6.6,148,70,972,"TY"
"38","02","2002030112",6.6,146.9,70,972,"TY"
"39","02","2002030118",6.7,145.5,70,972,"TY"
"40","02","2002030200",7.1,144.1,70,972,"TY"
"41","02","2002030206",7.6,142.6,75,967,"TY"
"42","02","2002030212",8,140.9,90,954,"TY"
"43","02","2002030218",8.4,139.3,100,944,"TY"
"44","02","2002030300",8.8,137.8,100,944,"TY"
"45","02","2002030306",9.5,136.7,100,944,"TY"
"46","02","2002030312",10.2,135.3,100,944,"TY"
"47","02","2002030318",10.5,134.2,105,938,"TY"
"48","02","2002030400",10.9,133,115,927,"TY"
"49","02","2002030406",11.3,132.5,115,927,"TY"
"50","02","2002030412",12,131.8,120,922,"TY"
"51","02","2002030418",12.5,131.2,125,916,"TY"
"52","02","2002030500",13.1,130.6,130,910,"ST"
"53","02","2002030506",13.7,130,140,898,"ST"
"54","02","2002030512",14.2,129.9,140,898,"ST"
"55","02","2002030518",14.8,129.9,140,898,"ST"
"56","02","2002030600",15.5,130.1,130,910,"ST"
"57","02","2002030606",16,130.4,125,916,"TY"
"58","02","2002030612",16.6,130.9,120,922,"TY"
"59","02","2002030618",17.1,131.5,115,927,"TY"
"60","02","2002030700",17.6,132.4,95,949,"TY"
"61","02","2002030706",17.9,133.5,75,967,"TY"
"62","02","2002030712",18,134.3,65,976,"TY"
"63","02","2002030718",17.9,134.9,55,984,"TS"
"64","02","2002030800",17.6,135.4,35,997,"TS"
"65","02","2002030806",17.1,135.3,25,1002,"TD"
"66","02","2002030812",16.8,134.7,20,1004,"TD"
"67","03","2002031818",4,138.2,25,1002,"TD"
"68","03","2002031900",4.7,136.3,25,1002,"TD"
"69","03","2002031906",5.6,134.5,25,1002,"TD"
"70","03","2002031912",6.2,133.2,25,1002,"TD"
"71","03","2002031918",6.5,132.2,25,1002,"TD"
"72","03","2002032000",6.5,131.1,25,1002,"TD"
"73","03","2002032006",6.6,130.1,30,1000,"TD"
"74","03","2002032012",6.7,129.2,30,1000,"TD"
"75","03","2002032018",6.7,128.5,30,1000,"TD"
"76","03","2002032100",7,127.6,30,1000,"TD"
"77","03","2002032106",7.4,126.7,30,1000,"TD"
"78","03","2002032112",8.2,125.9,30,1002,"TD"
"79","03","2002032118",9,125,25,1002,"TD"
"80","03","2002032200",9.7,124,30,1000,"TD"
"81","03","2002032206",10.3,123,30,1000,"TD"
"82","03","2002032212",10.8,121.8,30,1000,"TD"
"83","03","2002032218",11,120.5,30,1000,"TD"
"84","03","2002032300",11.1,119.3,30,1000,"TD"
"85","03","2002032306",11.2,118.1,30,1000,"TD"
"86","03","2002032312",11.2,116.9,30,1000,"TD"
"87","03","2002032318",11.2,115.8,30,1000,"TD"
"88","03","2002032400",11.4,114.7,30,1000,"TD"
"89","03","2002032406",12,114.1,25,1002,"TD"
"90","03","2002032412",12.8,113.8,25,1002,"TD"
"91","03","2002032418",13.3,113.6,20,1004,"TD"
"92","03","2002032500",13.8,113.5,20,1004,"TD"
"93","03","2002032506",14.2,113.3,20,1004,"TD"
"94","04","2002040512",11.3,155.3,25,1002,"TD"
"95","04","2002040518",12.9,156.1,30,1000,"TD"
"96","04","2002040600",14,156.8,30,1000,"TD"
"97","04","2002040606",15,157.4,30,1000,"TD"
"98","04","2002040612",16,158.5,30,1000,"TD"
"99","04","2002040618",17,159.6,30,1000,"TD"
"100","04","2002040700",17.2,160.8,25,1002,"TD"
"101","05","2002051306",3,150.2,25,1002,"TD"
"102","05","2002051312",3.5,149.9,25,1002,"TD"
"103","05","2002051318",4,149.6,25,1002,"TD"
"104","05","2002051400",4.4,149.5,25,1002,"TD"
"105","05","2002051406",4.7,149.5,25,1002,"TD"
"106","05","2002051412",5.1,149.7,25,1002,"TD"
"107","05","2002051418",5.5,149.6,25,1002,"TD"
"108","05","2002051500",6.3,149.3,25,1002,"TD"
"109","05","2002051506",7.2,148.6,30,1000,"TD"
"110","05","2002051512",8.1,147.8,30,1000,"TD"
"111","05","2002051518",9.2,146.6,30,1000,"TD"
"112","05","2002051600",10.2,145.5,35,997,"TS"
"113","05","2002051606",11.3,144.6,35,997,"TS"
"114","05","2002051612",12.1,143.6,35,997,"TS"
"115","05","2002051618",12.6,142.2,40,994,"TS"
"116","05","2002051700",13.1,141.1,50,987,"TS"
"117","05","2002051706",13.5,140.3,55,984,"TS"
"118","05","2002051712",14.1,139.5,60,980,"TS"
"119","05","2002051718",14.6,139.4,65,976,"TY"
"120","05","2002051800",15.4,139.4,65,976,"TY"
"121","05","2002051806",16.2,139.5,75,967,"TY"
"122","05","2002051812",16.8,139.8,80,963,"TY"
"123","05","2002051818",17.2,140,90,954,"TY"
"124","05","2002051900",17.7,140.5,120,922,"TY"
