"","yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"1","01","2014011618",9.2,128.4,15,1010,"DB"
"2","01","2014011700",9.5,128.2,15,1010,"DB"
"3","01","2014011706",9.8,127.9,15,1010,"DB"
"4","01","2014011712",10,127.6,15,1010,"DB"
"5","01","2014011718",9.6,127.5,20,1007,"DB"
"6","01","2014011800",9.2,127.8,25,1004,"TD"
"7","01","2014011806",8.7,128.2,30,1000,"TD"
"8","01","2014011812",8,128.4,30,1000,"TD"
"9","01","2014011818",7.6,128.4,25,1004,"TD"
"10","01","2014011900",7.4,128.3,25,1004,"TD"
"11","01","2014011906",7.2,128.3,25,1004,"TD"
"12","01","2014011912",6.8,128.5,25,1004,"TD"
"13","01","2014011918",6.3,128.8,20,1007,"DB"
"14","01","2014012000",6.2,129.2,15,1010,"DB"
"15","02","2014012912",8.4,139.7,15,1010,"DB"
"16","02","2014012918",8.4,138.7,20,1002,"DB"
"17","02","2014013000",8.5,137.5,20,1004,"DB"
"18","02","2014013006",8.8,135.9,20,1004,"DB"
"19","02","2014013012",9.1,134.3,20,1004,"DB"
"20","02","2014013018",9.4,132.5,25,1003,"TD"
"21","02","2014013100",9.6,130.3,30,1000,"TD"
"22","02","2014013106",10,128.2,35,996,"TS"
"23","02","2014013112",10.5,126.8,35,996,"TS"
"24","02","2014013118",11.3,125.5,30,1000,"TD"
"25","02","2014020100",11.8,123.3,20,1007,"DB"
"26","02","2014020106",12.1,120.7,15,1010,"DB"
"27","03","2014022618",8.5,148.6,15,1010,"DB"
"28","03","2014022700",8.4,148.3,20,1003,"DB"
"29","03","2014022706",8.5,148,20,1007,"DB"
"30","03","2014022712",8.6,147.9,20,1007,"DB"
"31","03","2014022718",8.7,148,20,1003,"DB"
"32","03","2014022800",8.7,148.2,25,1002,"TD"
"33","03","2014022806",8.6,148.5,30,1000,"TD"
"34","03","2014022812",8.5,148.9,30,1000,"TD"
"35","03","2014022818",8.4,149.3,35,996,"TS"
"36","03","2014030100",8.4,149.6,35,996,"TS"
"37","03","2014030106",8.7,149.8,35,996,"TS"
"38","03","2014030112",9,149.9,40,993,"TS"
"39","03","2014030118",9.2,149.7,45,989,"TS"
"40","03","2014030200",9.4,149.4,45,989,"TS"
"41","03","2014030206",9.6,149.4,45,989,"TS"
"42","03","2014030212",10.1,149.5,45,989,"TS"
"43","03","2014030218",10.6,149.5,45,989,"TS"
"44","03","2014030300",11.2,149.5,45,989,"TS"
"45","03","2014030306",12,149.6,50,985,"TS"
"46","03","2014030312",12.9,149.6,50,985,"TS"
