"","yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"1","01","2013010100",5,140.7,15,1010,"DB"
"2","01","2013010106",5,138.5,15,1010,"DB"
"3","01","2013010112",5,136.3,15,1010,"DB"
"4","01","2013010118",5.7,134.2,15,1010,"DB"
"5","01","2013010200",6.4,132.1,15,1010,"DB"
"6","01","2013010206",7,130,15,1010,"DB"
"7","01","2013010212",7.8,127.9,20,1007,"DB"
"8","01","2013010218",8.3,126,20,1005,"DB"
"9","01","2013010300",8.7,123.9,20,1007,"DB"
"10","01","2013010306",9,121.4,20,1007,"DB"
"11","01","2013010312",8.5,119.6,30,1000,"TD"
"12","01","2013010318",8.5,118.1,30,1000,"TD"
"13","01","2013010400",8.7,116.6,35,996,"TS"
"14","01","2013010406",8.5,115.3,35,996,"TS"
"15","01","2013010412",8.2,114.2,35,996,"TS"
"16","01","2013010418",8.3,113.2,35,996,"TS"
"17","01","2013010500",7.9,112.2,40,993,"TS"
"18","01","2013010506",7.8,111.4,40,993,"TS"
"19","01","2013010512",7.6,110.8,40,993,"TS"
"20","01","2013010518",7.3,110.3,40,993,"TS"
"21","01","2013010600",7.5,110.4,40,993,"TS"
"22","01","2013010606",7.6,109.8,40,993,"TS"
"23","01","2013010612",7.2,109.2,40,993,"TS"
"24","01","2013010618",6.6,108.8,40,993,"TS"
"25","01","2013010700",6.5,108.5,40,993,"TS"
"26","01","2013010706",6.4,108.4,35,996,"TS"
"27","01","2013010712",6.1,108.4,30,1000,"TD"
"28","01","2013010718",5.8,108.5,30,1000,"TD"
"29","01","2013010800",5.9,108.6,25,1004,"TD"
"30","02","2013021918",6.8,121.9,20,1007,"DB"
"31","02","2013022000",7.1,121.5,20,1007,"DB"
"32","02","2013022006",7.4,120.7,20,1007,"DB"
"33","02","2013022012",7.7,119.5,20,1007,"DB"
"34","02","2013022018",7.9,118.3,20,1007,"DB"
"35","02","2013022100",8.1,116.5,20,1007,"DB"
"36","02","2013022106",8.2,114.4,20,1007,"DB"
"37","02","2013022112",8,112,20,1007,"DB"
"38","02","2013022118",6.6,109.7,25,1004,"TD"
"39","02","2013022200",5.7,109.4,25,1004,"TD"
"40","02","2013022206",5.3,109.8,25,1004,"TD"
"41","02","2013022212",4.7,110,20,1007,"DB"
"42","02","2013022218",4.3,109.7,20,1007,"DB"
"43","02","2013022300",3.9,109.3,20,1005,"DB"
"44","02","2013022306",3.4,109.5,20,1007,"DB"
"45","03","2013060712",16.3,129.9,15,1010,"DB"
"46","03","2013060718",16.6,129.2,15,1010,"DB"
"47","03","2013060800",17.2,129,20,1004,"DB"
"48","03","2013060806",17.5,129.6,25,1004,"TD"
"49","03","2013060812",17.8,130.2,25,1001,"TD"
"50","03","2013060818",19,130.9,35,996,"TS"
"51","03","2013060900",20,131.2,35,996,"TS"
"52","03","2013060906",20.6,131.7,35,996,"TS"
"53","03","2013060912",21.1,132.3,35,996,"TS"
"54","03","2013060918",21.8,133.2,35,996,"TS"
"55","03","2013061000",22.6,133.5,40,993,"TS"
"56","03","2013061006",23.5,134.4,45,989,"TS"
"57","03","2013061012",24.6,135.3,50,985,"TS"
"58","03","2013061018",26.2,135.9,55,982,"TS"
"59","03","2013061100",27.8,136.3,50,985,"TS"
"60","03","2013061100",27.8,136.3,50,985,"TS"
"61","03","2013061106",29.3,136.7,50,985,"TS"
"62","03","2013061112",30.4,136.9,45,989,"TS"
"63","03","2013061118",30.7,137,40,993,"TS"
"64","03","2013061200",30.9,137.2,35,996,"TS"
"65","03","2013061206",30.9,138,30,1000,"TD"
"66","03","2013061212",31.2,138.9,25,1004,"TD"
"67","03","2013061218",31.9,139.5,25,1004,"TD"
"68","03","2013061300",32.3,139.7,25,1004,"TD"
"69","03","2013061306",32.6,139.4,25,1004,"SD"
"70","03","2013061312",32.5,139,25,1004,"SD"
"71","03","2013061318",32.1,138.8,20,1007,"EX"
"72","03","2013061400",31,139.3,20,1007,"EX"
"73","03","2013061406",30.7,139.6,20,1007,"EX"
"74","03","2013061412",30.7,139.8,20,1007,"EX"
"75","03","2013061418",30.8,140,20,1007,"EX"
"76","03","2013061500",30.9,140.2,20,1007,"EX"
"77","03","2013061506",30.8,140.5,15,1010,"EX"
"78","04","2013061606",11.6,127.8,15,1010,"DB"
"79","04","2013061612",12.1,127.5,15,1010,"DB"
"80","04","2013061618",12.6,127.2,20,1004,"DB"
"81","04","2013061700",13.2,126.9,20,1002,"DB"
"82","04","2013061706",13.9,126.8,20,1002,"DB"
"83","04","2013061712",14.8,126.7,25,1004,"TD"
"84","04","2013061718",15.8,126.6,25,999,"TD"
"85","04","2013061800",16.9,126.5,30,998,"TD"
"86","04","2013061806",18.1,126.4,30,1000,"TD"
"87","04","2013061812",19.2,126.2,35,996,"TS"
"88","04","2013061818",20,126,35,996,"TS"
"89","04","2013061900",21.2,125.9,35,996,"TS"
"90","04","2013061906",22.5,125.6,35,996,"TS"
"91","04","2013061912",23.8,125.3,35,996,"TS"
"92","04","2013061918",25.1,124.9,35,996,"TS"
"93","04","2013062000",27,125,35,996,"TS"
"94","04","2013062006",29,125.4,35,996,"TS"
"95","04","2013062012",30.1,125.7,30,1000,"EX"
"96","04","2013062018",31.1,126.2,25,1002,"EX"
"97","04","2013062100",32,127.6,25,1003,"EX"
"98","05","2013061918",14.6,116.7,15,1010,"DB"
"99","05","2013062000",15,117.5,20,1001,"DB"
"100","05","2013062006",15.6,117.8,20,1007,"DB"
"101","05","2013062012",16.6,117.8,30,1000,"TD"
"102","05","2013062018",17.6,117.3,30,1000,"TD"
"103","05","2013062100",18.2,116.2,30,1000,"TD"
"104","05","2013062106",18.8,115.4,30,1000,"TD"
"105","05","2013062112",19.3,114.4,35,996,"TS"
"106","05","2013062118",19.3,113,35,996,"TS"
"107","05","2013062200",19.4,111.4,35,996,"TS"
"108","05","2013062206",19.5,110.1,30,1000,"TD"
"109","05","2013062212",19.6,109.2,25,1004,"TD"
"110","05","2013062218",19.2,108.4,25,998,"TD"
"111","05","2013062300",19.3,107.5,25,998,"TD"
"112","05","2013062306",19.8,106.6,25,1004,"TD"
"113","05","2013062312",20.4,106.2,20,1007,"DB"
"114","05","2013062318",20.8,105.8,20,1000,"DB"
"115","05","2013062400",21.1,105.5,20,1007,"DB"
"116","06","2013062712",8.8,131.3,15,1010,"DB"
"117","06","2013062718",9,130.2,20,1005,"DB"
"118","06","2013062800",9.4,129.3,20,1007,"DB"
"119","06","2013062806",10,128.5,25,1004,"TD"
"120","06","2013062812",10.7,127.7,30,1000,"TD"
"121","06","2013062818",11.2,126.8,30,1000,"TD"
"122","06","2013062900",11.9,125.4,30,1000,"TD"
"123","06","2013062906",12.5,124,35,996,"TS"
"124","06","2013062912",13.5,122.7,35,996,"TS"
"125","06","2013062918",14.1,121.2,35,996,"TS"
"126","06","2013063000",14.7,119.7,35,996,"TS"
"127","06","2013063006",15.5,118.5,40,993,"TS"
"128","06","2013063012",16.7,117.1,45,989,"TS"
"129","06","2013063018",17.7,115.5,45,989,"TS"
"130","06","2013070100",18.3,113.9,55,982,"TS"
"131","06","2013070100",18.3,113.9,55,982,"TS"
"132","06","2013070106",19.1,112.6,60,978,"TS"
"133","06","2013070106",19.1,112.6,60,978,"TS"
"134","06","2013070112",19.8,111.6,70,970,"TY"
"135","06","2013070112",19.8,111.6,70,970,"TY"
"136","06","2013070118",20.4,110.5,60,978,"TS"
"137","06","2013070118",20.4,110.5,60,978,"TS"
"138","06","2013070200",21.5,109.8,55,982,"TS"
"139","06","2013070200",21.5,109.8,55,982,"TS"
"140","06","2013070206",22.6,109,40,993,"TS"
"141","07","2013070600",19.9,156.2,20,1007,"DB"
"142","07","2013070606",19.8,154.9,20,1007,"DB"
"143","07","2013070612",19.8,153.6,20,1007,"DB"
"144","07","2013070618",19.8,152.1,20,1007,"DB"
"145","07","2013070700",20,150.6,20,1007,"DB"
"146","07","2013070706",19.7,149.4,20,1007,"DB"
"147","07","2013070712",19.3,148.3,25,1004,"TD"
"148","07","2013070718",19.1,147.1,30,1000,"TD"
"149","07","2013070800",19.2,145.5,35,996,"TS"
"150","07","2013070806",19.1,143.9,45,989,"TS"
"151","07","2013070812",19.3,142.7,60,978,"TS"
"152","07","2013070812",19.3,142.7,60,978,"TS"
"153","07","2013070818",19.5,141.5,70,970,"TY"
"154","07","2013070818",19.5,141.5,70,970,"TY"
"155","07","2013070900",19.6,140.4,75,967,"TY"
"156","07","2013070900",19.6,140.4,75,967,"TY"
"157","07","2013070900",19.6,140.4,75,967,"TY"
"158","07","2013070906",19.9,139.4,85,959,"TY"
"159","07","2013070906",19.9,139.4,85,959,"TY"
"160","07","2013070906",19.9,139.4,85,959,"TY"
"161","07","2013070912",20.3,138.3,100,948,"TY"
"162","07","2013070912",20.3,138.3,100,948,"TY"
"163","07","2013070912",20.3,138.3,100,948,"TY"
"164","07","2013070918",20.7,137.1,115,937,"TY"
"165","07","2013070918",20.7,137.1,115,937,"TY"
"166","07","2013070918",20.7,137.1,115,937,"TY"
"167","07","2013071000",21.1,135.9,125,929,"TY"
"168","07","2013071000",21.1,135.9,125,929,"TY"
"169","07","2013071000",21.1,135.9,125,929,"TY"
"170","07","2013071006",21.5,134.7,125,929,"TY"
"171","07","2013071006",21.5,134.7,125,929,"TY"
"172","07","2013071006",21.5,134.7,125,929,"TY"
"173","07","2013071012",21.8,133.5,125,929,"TY"
"174","07","2013071012",21.8,133.5,125,929,"TY"
"175","07","2013071012",21.8,133.5,125,929,"TY"
"176","07","2013071018",22,132.2,115,937,"TY"
"177","07","2013071018",22,132.2,115,937,"TY"
"178","07","2013071018",22,132.2,115,937,"TY"
"179","07","2013071100",22.1,130.9,105,944,"TY"
"180","07","2013071100",22.1,130.9,105,944,"TY"
"181","07","2013071100",22.1,130.9,105,944,"TY"
"182","07","2013071106",22.3,129.6,95,952,"TY"
"183","07","2013071106",22.3,129.6,95,952,"TY"
"184","07","2013071106",22.3,129.6,95,952,"TY"
"185","07","2013071112",22.4,128.3,95,952,"TY"
"186","07","2013071112",22.4,128.3,95,952,"TY"
"187","07","2013071112",22.4,128.3,95,952,"TY"
"188","07","2013071118",22.5,127,95,952,"TY"
"189","07","2013071118",22.5,127,95,952,"TY"
"190","07","2013071118",22.5,127,95,952,"TY"
"191","07","2013071200",22.7,125.8,90,956,"TY"
