"","yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"1","01","2017010712",7.9,127.8,20,1006,"DB"
"2","01","2017010718",8.4,127.5,20,1006,"DB"
"3","01","2017010800",9,127.1,25,1003,"TD"
"4","01","2017010806",9.5,126.5,25,1003,"TD"
"5","01","2017010812",9.8,125.9,30,1001,"TD"
"6","01","2017010818",10,125.4,30,1000,"TD"
"7","01","2017010900",10.2,124.9,25,1004,"TD"
"8","01","2017010906",10.3,124,20,1004,"WV"
"9","01","2017010912",10,122.9,20,1005,"WV"
"10","01","2017010918",9.2,122,20,1005,"WV"
"11","01","2017011000",8.3,121.4,20,1005,"WV"
"12","01","2017011006",7.9,120.4,20,1006,"WV"
"13","01","2017011012",8,119.7,20,1007,"WV"
"14","01","2017011018",8.4,118.8,20,1007,"WV"
"15","01","2017011100",9.2,117.7,20,1007,"WV"
"16","01","2017011106",9.6,116.5,20,1006,"WV"
"17","01","2017011112",9.9,115.3,20,1007,"WV"
"18","01","2017011118",10.2,114.1,20,1007,"WV"
"19","01","2017011200",10.5,113.2,20,1007,"WV"
"20","01","2017011206",10.8,112.5,20,1006,"DB"
"21","01","2017011212",10.6,112.7,20,1007,"DB"
"22","01","2017011218",10.8,112.6,20,1007,"DB"
"23","01","2017011300",11,112.5,20,1007,"DB"
"24","01","2017011306",11.3,112.2,20,1007,"DB"
"25","01","2017011312",10.9,112,20,1006,"DB"
"26","01","2017011318",10.5,111.6,25,1004,"TD"
"27","01","2017011400",10.3,111.2,25,1004,"TD"
"28","01","2017011406",10,111,25,1004,"TD"
"29","01","2017011412",9.6,110.7,25,1004,"TD"
"30","01","2017011418",9.4,110,20,1007,"DB"
"31","01","2017011500",9.5,109.8,15,1010,"DB"
"32","01","2017011506",9.6,109.4,15,1010,"DB"
"33","01","2017011512",9.5,109,15,1010,"DB"
"34","01","2017011518",9.3,108.3,15,1010,"DB"
"35","01","2017011600",9.1,107.5,15,1010,"DB"
"36","02","2017041612",13.1,119.6,15,1010,"LO"
"37","02","2017041618",13.6,118.7,15,1010,"LO"
"38","02","2017041700",14,117.9,20,1009,"DB"
"39","02","2017041706",14.4,117.2,20,1007,"DB"
"40","02","2017041712",14.7,117,20,1007,"DB"
"41","02","2017041718",15,116.9,20,1007,"DB"
"42","02","2017041800",15.3,116.9,25,1004,"TD"
"43","02","2017041806",15.9,117.3,25,1004,"TD"
"44","02","2017041812",16.3,117.7,25,1004,"TD"
"45","02","2017041818",16.7,117.9,25,1004,"TD"
"46","02","2017041900",17.3,118,25,1004,"TD"
"47","02","2017041906",18.2,118.2,25,1004,"TD"
"48","02","2017041912",19.1,118.8,20,1007,"DB"
"49","02","2017041918",19.9,119.8,20,1007,"DB"
"50","02","2017042000",20.7,120.9,20,1007,"DB"
"51","02","2017042006",21.7,122.2,15,1010,"PT"
"52","03","2017042418",12.4,136.5,20,1007,"DB"
"53","03","2017042500",12.6,136.3,25,1004,"TD"
"54","03","2017042506",12.7,136.1,30,1005,"TD"
"55","03","2017042512",12.8,135.9,30,1005,"TD"
"56","03","2017042518",12.9,135.4,35,996,"TS"
"57","03","2017042600",13,134.8,35,996,"TS"
"58","03","2017042606",13.3,134.4,35,996,"TS"
"59","03","2017042612",13.8,134.2,35,996,"TS"
"60","03","2017042618",14.6,134.3,40,993,"TS"
"61","03","2017042700",15.2,134.5,40,993,"TS"
"62","03","2017042706",15.9,134.6,35,996,"TS"
"63","03","2017042712",17,134.6,30,1006,"TD"
"64","03","2017042718",17.9,134.8,25,1007,"TD"
"65","03","2017042800",18.4,135.5,20,1007,"DB"
"66","03","2017042806",18.9,136.3,15,1008,"DB"
"67","04","2017061000",13.4,119.4,15,1010,"DB"
"68","04","2017061006",13.8,118.8,20,1007,"DB"
"69","04","2017061012",14.7,118.1,20,1007,"DB"
