"","yr_cyc_num","date_time","lat","long","vmax","mslp","typh_grade"
"1","01","2019010400",2.6,174.8,25,1002,"TD"
"2","01","2019010406",2.8,174.8,25,1002,"TD"
"3","01","2019010412",2.9,174.7,20,1005,"DB"
"4","01","2019010418",3.1,174.6,20,1005,"DB"
"5","01","2019010500",3.3,174.6,20,1005,"DB"
"6","01","2019010506",3.6,174.8,20,1005,"DB"
"7","01","2019010512",3.8,174.8,20,1006,"DB"
"8","01","2019010518",4.2,174.8,20,1006,"DB"
"9","01","2019010600",4.5,174.7,20,1005,"DB"
"10","01","2019010606",4.8,174.4,20,1005,"DB"
"11","01","2019010612",5.1,173.9,15,1007,"DB"
"12","01","2019010618",4.8,173.4,15,1007,"DB"
"13","01","2019010700",4.6,173.6,15,1007,"DB"
"14","01","2019010706",4.1,173.6,15,1007,"DB"
"15","01","2019010712",3.5,173.2,15,1008,"DB"
"16","01","2019010718",3.6,172.5,15,1008,"DB"
"17","01","2019010800",3.7,172,15,1008,"DB"
"18","01","2019010806",4,171.4,15,1008,"LO"
"19","01","2019010812",4.2,170.6,15,1008,"LO"
"20","01","2019010818",4.1,169.5,15,1007,"LO"
"21","01","2019010900",3.8,168.3,15,1007,"LO"
"22","01","2019010906",3.1,167.3,15,1007,"LO"
"23","01","2019010912",2.2,166.9,15,1007,"LO"
"24","01","2019010918",2.8,165.6,15,1007,"LO"
"25","01","2019011000",3.8,164.7,15,1007,"LO"
"26","01","2019011006",4.7,163.8,15,1005,"LO"
"27","01","2019011012",5,162.6,15,1008,"LO"
"28","01","2019011018",5.2,161.3,15,1008,"LO"
"29","01","2019011100",5.2,160.2,15,1007,"LO"
"30","01","2019011106",5.2,159.5,15,1006,"LO"
"31","01","2019011112",5.3,159,15,1008,"LO"
"32","01","2019011118",5.4,158.6,15,1006,"LO"
"33","01","2019011200",5.5,158.3,15,1006,"LO"
"34","01","2019011206",5.6,158.1,15,1006,"LO"
"35","01","2019011212",5.6,157.8,15,1010,"LO"
"36","01","2019011218",5.5,157.4,15,1004,"LO"
"37","01","2019011300",5.4,157,15,1004,"LO"
"38","01","2019011306",5.3,156.6,15,1010,"LO"
"39","01","2019011312",5.1,156,15,1010,"LO"
"40","01","2019011318",4.8,155.3,15,1010,"LO"
"41","01","2019011400",4.6,154.4,15,1010,"LO"
"42","01","2019011406",4.5,153.6,15,1002,"LO"
"43","01","2019011412",4.5,153,15,1002,"LO"
"44","01","2019011418",4.5,152.5,15,1003,"LO"
"45","01","2019011500",4.4,152.1,15,1006,"LO"
"46","01","2019011506",4.2,151.6,15,1006,"LO"
"47","01","2019011512",4,151,15,1006,"LO"
"48","01","2019011518",4.1,150.3,15,1005,"LO"
"49","01","2019011600",4.1,149.4,15,1006,"LO"
"50","01","2019011606",4.4,148.1,15,1006,"LO"
"51","01","2019011612",5.3,147.1,15,1006,"LO"
"52","01","2019011618",5.9,146,15,1006,"LO"
"53","01","2019011700",5.9,144.6,15,1007,"LO"
"54","01","2019011706",6.1,143.2,15,1005,"LO"
"55","01","2019011712",6.3,141.7,15,1005,"LO"
"56","01","2019011718",6.3,140.2,20,1005,"DB"
